,train_acc,train_auc,train_ll,test_acc,test_auc,test_ll,valid_acc,valid_auc,valid_ll,time
LogRer 0.001_l1_42_liblinear,0.8008340675477239,0.8008661437706293,0.4970290266816053,0.8004581497797357,0.8004903899113543,0.4971520997209393,0.8007895107852813,0.800662357856902,0.4953080619907013,1.0
LogRer 0.001_l1_42_saga,0.8348154674498287,0.8348419455848719,0.4258603009463027,0.834466960352423,0.8344934695028847,0.4259244621152605,0.835612575778937,0.8355035466902302,0.4263845070333132,2.0
LogRer 0.001_l2_42_liblinear,0.7999216837983357,0.7999327784994075,0.4770336811204908,0.799647577092511,0.7996586568617764,0.47729474834729485,0.8023403355420837,0.8022935062072845,0.47214950676500284,1.0
LogRer 0.001_l2_42_saga,0.8112814488497307,0.811287764161803,0.46660556478793536,0.810748898678414,0.8107551841284495,0.46686227221537296,0.8158748061469054,0.8158487497100013,0.4622717862212316,2.0
LogRer 0.01_l1_42_liblinear,0.885419481155164,0.8854309123506819,0.28298088597663185,0.8851453744493392,0.8851568875905471,0.2833861884876342,0.8860848724094177,0.886029233460453,0.2806833416206184,17.0
LogRer 0.01_l1_42_saga,0.8927068037200195,0.892716291888648,0.2663119150210563,0.8923700440528635,0.8923795570279964,0.2667372948501044,0.8910193148174256,0.8909720915891866,0.2642244793409288,2.0
LogRer 0.01_l2_42_liblinear,0.8650455212922173,0.8650569963927524,0.3426659473464292,0.8645991189427312,0.8646103282062517,0.3430672650611689,0.8664880868461864,0.866439393011822,0.33875662884009833,1.0
LogRer 0.01_l2_42_saga,0.8715340186000979,0.8715436772793352,0.329167525127677,0.8711541850220265,0.8711638523571855,0.3295667092507702,0.8724094177357958,0.8723664578781937,0.3260725286915217,2.0
LogRer 0.1_l1_42_liblinear,0.8995203132648066,0.8995260859975053,0.2505702192890304,0.899488986784141,0.8994948787475295,0.2512861856088847,0.8982095023262371,0.8981728451167557,0.24729627162921355,31.0
LogRer 0.1_l1_42_saga,0.900491434165443,0.9004968592304688,0.24983268704508876,0.9006872246696035,0.9006926696266336,0.25052796145739875,0.9001832792894403,0.9001480563685944,0.24616165382997918,6.0
LogRer 0.1_l2_42_liblinear,0.8914811551639745,0.8914886671567795,0.270637487617243,0.8912775330396476,0.8912850226556223,0.271207570506187,0.8886225856478218,0.8885809041154137,0.2672325937965738,2.0
LogRer 0.1_l2_42_saga,0.8947860988742046,0.8947931342641328,0.2624744148910251,0.8945550660792951,0.8945620530072325,0.2630570226387113,0.8927111236430283,0.8926714164705912,0.2595229722135743,6.0
LogRer 1_l1_42_liblinear,0.9008438570729319,0.900848832562469,0.2492795999392122,0.9003700440528635,0.9003751424546321,0.2501121787083694,0.9028619765966446,0.9028330190984923,0.24543996026716056,184.0
LogRer 1_l1_42_saga,0.9009534997552618,0.9009584379952538,0.2492956018833081,0.9005462555066079,0.9005512756788956,0.2501294981257374,0.9030029606654448,0.9029741822831339,0.24533989140353876,16.0
LogRer 1_l2_42_liblinear,0.8996651982378855,0.8996707610839183,0.2507761007664437,0.8996651982378855,0.8996707660519951,0.25152787191696924,0.898773438601438,0.8987396445216043,0.24700128001683497,3.0
LogRer 1_l2_42_saga,0.9002643171806167,0.900269573308185,0.24974949860666049,0.8999823788546255,0.8999877343153646,0.2505236050334541,0.9010291837022416,0.9009982554758674,0.24612530584505152,13.0
LogRer 10_l1_42_liblinear,0.9011297112090063,0.9011346333204765,0.2493689290594329,0.9008281938325992,0.9008331693205602,0.25021672770125286,0.9031439447342451,0.9031157032454891,0.24522732764256933,40.0
LogRer 10_l1_42_saga,0.9011140479686736,0.9011189601424143,0.2493075790619432,0.9007929515418502,0.9007979158480932,0.2501525853968865,0.9031439447342451,0.9031157032454891,0.24528689534278736,16.0
LogRer 10_l2_42_liblinear,0.9009809104258444,0.9009858772350351,0.24929821298979213,0.9006519823788546,0.9006569466709157,0.2501349701609437,0.9025800084590442,0.9025514082846371,0.2453943525821125,3.0
